City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Lima,PE,73.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
359,Harper,LR,79.75,light rain,4.375,-7.7169,Screensaver
361,Mount Isa,AU,91.4,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
363,Bull Savanna,JM,70.07,clear sky,17.8868,-77.5902,Big Red's
364,Boa Vista,BR,77.0,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
369,Geraldton,AU,86.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
370,Jacareacanga,BR,72.61,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
372,Alta Floresta,BR,70.48,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
376,Salinopolis,BR,77.97,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
379,Atar,MR,83.64,clear sky,20.5169,-13.0499,Oumou Elghoura
381,Thinadhoo,MV,84.06,overcast clouds,0.5333,72.9333,
382,Santa Cruz,BO,71.6,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
384,Inyonga,TZ,80.53,broken clouds,-6.7167,32.0667,Eden Rock Lodge
386,Voi,KE,87.71,few clouds,-3.3945,38.563,Voi Wildlife Lodge
390,Andros Town,BS,71.6,scattered clouds,24.7,-77.7667,Hanks place
392,Mhlambanyatsi,SZ,71.6,few clouds,-26.45,31.0167,Foresters Arms
393,Marawi,PH,84.0,broken clouds,7.9986,124.2928,Derogongan Residence
394,Kununurra,AU,86.0,broken clouds,-15.7667,128.7333,Hotel Kununurra
398,Ouadda,CF,86.88,overcast clouds,8.0777,22.4007,
403,Sola,VU,82.11,light rain,-13.8833,167.55,Leumerus Bungalows
405,Kondoa,TZ,78.73,light rain,-4.9,35.7833,Kinyuma Lodge
409,Huarmey,PE,70.36,overcast clouds,-10.0681,-78.1522,Hotel Miramar
410,Bogo,PH,83.35,scattered clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
415,Kencong,ID,83.1,moderate rain,-8.2833,113.3667,GUBUK SUGIANTO
416,Adre,TD,90.09,broken clouds,13.4667,22.2,
420,Kuala Selangor,MY,91.4,few clouds,3.35,101.25,Apps Hotel
428,Goure,NE,91.99,broken clouds,13.9835,10.2704,
435,Kerman,IR,73.4,few clouds,30.2832,57.0788,هتل آپارتمان آسام
437,Mumford,GH,79.54,overcast clouds,5.2618,-0.759,Spanish Villa
440,Moa,CU,72.99,scattered clouds,20.6569,-74.9403,Renta en Divisa
445,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
446,Martin,US,73.99,clear sky,27.0837,-80.4164,
448,Paita,PE,75.74,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
452,Japura,ID,87.12,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
460,Bubaque,GW,74.71,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Idenao,CM,84.2,broken clouds,4.2475,9.0047,Moland Beach Resort
466,Saint-Joseph,RE,84.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
467,Natal,BR,75.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
472,Kuruman,ZA,80.33,clear sky,-27.4524,23.4325,Cornerstone Guest House
474,Sao Joao Da Barra,BR,73.4,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
475,Akyab,MM,84.36,broken clouds,20.15,92.9,Hotel Memory
477,Mabay,PH,91.4,broken clouds,6.0577,124.4666,Bautista Lodging House
478,Tautira,PF,78.8,clear sky,-17.7333,-149.15,Pension Oaoa
481,Tessalit,ML,80.22,clear sky,20.1986,1.0114,
485,Tarakan,ID,82.74,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
486,Hobyo,SO,85.51,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
487,Jibuti,DJ,86.0,few clouds,11.5,42.5,Orchid Main Camp Goubet
488,Thanh Hoa,VN,80.13,few clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
489,Garissa,KE,89.89,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
492,Hervey Bay,AU,73.99,light rain,-25.2986,152.8535,Shelly Bay Resort
493,Koumra,TD,90.3,scattered clouds,8.9126,17.5539,Motel Espoir
495,Puerto Ayacucho,VE,72.77,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
496,Contamana,PE,70.74,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
497,Dutlwe,BW,82.83,clear sky,-23.9833,23.9,
501,Escarcega,MX,71.64,clear sky,18.6089,-90.7454,Hotel Maria Isabel
505,Quezon,PH,84.4,broken clouds,7.7303,125.0989,LIBRE INN
507,Inirida,CO,70.32,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
508,Sabya,SA,87.8,clear sky,17.1495,42.6254,Aseel Hotel Apartment
509,Jucurutu,BR,76.5,few clouds,-6.0339,-37.0203,Pousada Miike
513,Attingal,IN,91.4,haze,8.6833,76.8333,Ayurveda Hospital
514,Sembe,CG,74.39,overcast clouds,1.6481,14.5806,
515,Olinda,BR,75.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
518,Sao Gabriel Da Cachoeira,BR,70.48,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
522,Galle,LK,81.84,overcast clouds,6.0367,80.217,Amangalla
525,Porto Velho,BR,73.4,light rain,-8.7619,-63.9039,Hotel Central
526,Veraval,IN,87.12,broken clouds,20.9,70.3667,Lords Inn Somnath
528,Fare,PF,82.26,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
529,Xai-Xai,MZ,90.57,clear sky,-25.0519,33.6442,Complexo da Familia
530,Omboue,GA,76.26,light rain,-1.5746,9.2618,Hotel Olako
533,Mabaruma,GY,70.74,overcast clouds,8.2,-59.7833,
538,Srikakulam,IN,90.99,broken clouds,18.3,83.9,Sriram residency
539,Nabire,ID,80.83,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
540,Nathdwara,IN,89.6,haze,24.9333,73.8167,Hotel Sudarshan
541,Dicabisagan,PH,82.15,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
543,Langsa,ID,85.78,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
546,Wamba,NG,87.1,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
547,Pilar,BR,71.6,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
548,Ishigaki,JP,77.0,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
549,Arawa,PG,78.64,broken clouds,-6.2132,155.5367,Coastline Guest House
553,Faya,SA,77.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
555,Odweyne,SO,84.24,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
556,The Valley,AI,75.2,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
559,Morogoro,TZ,84.2,light rain,-6.8167,37.6667,Nashera Hotel
562,Miaray,PH,83.71,broken clouds,7.5747,125.0444,Ben Justin/Ben John Ross/Ben Jethro Farm
566,Nishihara,JP,75.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
567,Manyana,BW,82.42,few clouds,-23.4,21.7167,
568,Cairns,AU,82.4,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
571,Ventanas,EC,74.37,moderate rain,-1.45,-79.4667,Hotel Kalabi INN
573,Bonthe,SL,81.18,broken clouds,7.5264,-12.505,Bonthe Holiday Village
574,Ransang,PH,83.37,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
576,Poum,NC,80.82,overcast clouds,-20.2333,164.0167,Gîte kajeon
579,San-Pedro,CI,78.24,light rain,4.7485,-6.6363,Hotel Maria
580,Esna,EG,75.2,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
581,Soe,ID,71.98,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
582,Puerto Escondido,MX,74.37,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
585,Port-Gentil,GA,77.0,scattered clouds,-0.7193,8.7815,Fengshui Residence
586,Lucea,JM,73.4,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
587,Odienne,CI,80.04,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
591,Miri,MY,86.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
598,Yuanli,TW,73.4,scattered clouds,24.4397,120.6535,東里家風古厝民宿
599,Kalemie,CD,81.39,light rain,-5.9475,29.1947,Mahobilali
600,Tambacounda,SN,77.04,clear sky,13.7539,-13.7586,
603,Kiama,AU,70.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
604,Madang,PG,79.9,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
607,Tenenkou,ML,86.14,broken clouds,14.4572,-4.9169,
610,Sur,OM,88.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
611,Progreso,MX,75.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
612,Beloha,MG,94.03,clear sky,-25.1667,45.05,
614,Namibe,AO,75.2,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
616,Kandrian,PG,80.26,broken clouds,-6.2167,149.55,Kandrian Station
618,Ariquemes,BR,71.58,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
619,Tuensang,IN,83.48,clear sky,26.2833,94.8333,B.W.D Resthouse.
622,Mwene-Ditu,CD,83.21,overcast clouds,-7.0,23.45,Hôtel Kamas
623,Raga,SS,88.11,overcast clouds,8.4596,25.678,
624,Cartagena,CO,77.0,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
628,El Retorno,CO,71.53,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
629,Puerto Cabezas,NI,75.47,scattered clouds,14.0351,-83.3888,Cabaña Caribe
632,Bandarbeyla,SO,81.9,few clouds,9.4942,50.8122,JABIR HOTEL
640,Shenzhen,CN,82.99,few clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
643,Kibala,TD,86.0,clear sky,9.1104,18.3463,
644,Namatanai,PG,80.85,few clouds,-3.6667,152.4333,Namatanai Hotel
645,Bintulu,MY,82.4,scattered clouds,3.1667,113.0333,900 Boutique INN
646,Aripuana,BR,70.66,light rain,-9.1667,-60.6333,
649,Mackay,AU,77.0,light rain,-21.15,149.2,International Lodge Motel
651,Tamandare,BR,76.73,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
654,Ambovombe,MG,88.16,clear sky,-25.1667,46.0833,RELAHARA
656,Adrar,MR,75.99,clear sky,20.5022,-10.0711,
658,Capao Da Canoa,BR,70.14,few clouds,-29.7456,-50.0097,Hotel Araçá
665,Acarau,BR,76.75,broken clouds,-2.8856,-40.12,castelo pizzaria
669,Collie,AU,86.0,clear sky,-33.3667,116.15,Collie Ridge
670,Bongandanga,CD,88.38,overcast clouds,1.5,21.05,
672,Am Timan,TD,92.68,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
674,Ninh Binh,VN,81.97,clear sky,20.2539,105.975,Kinh Do Hotel
675,Dedougou,BF,87.15,overcast clouds,12.4667,-3.4667,Hôtel Bon Séjour
677,Karratha,AU,88.92,few clouds,-20.7377,116.8463,ibis Styles Karratha
678,Taoudenni,ML,76.15,clear sky,22.6783,-3.9836,
680,Falam,MM,86.83,clear sky,22.9167,93.6833,Falang Government Guesthouse
681,Sao Geraldo Do Araguaia,BR,70.16,moderate rain,-6.4006,-48.555,SOLAR DO BARROSO
685,Manta,EC,77.0,light rain,-0.95,-80.7333,Balandra Hotel
688,Piet Retief,ZA,80.73,clear sky,-27.0071,30.8132,Arabian Nite Guest House
691,Bundaberg,AU,77.0,overcast clouds,-24.85,152.35,Takalvan Motel
697,Balikpapan,ID,82.4,scattered clouds,-1.2675,116.8289,ibis Balikpapan
