City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,39.0,74,100,3.27,overcast clouds
80,Jamestown,US,42.097,-79.2353,44.01,75,90,4.52,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,66.2,39,20,12.66,few clouds
82,Pisco,PE,-13.7,-76.2167,68.0,77,0,6.91,clear sky
83,Aykhal,RU,66.0,111.5,11.48,90,100,24.94,overcast clouds
84,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,13.8,scattered clouds
85,Alice Springs,AU,-23.7,133.8833,82.4,28,96,16.11,overcast clouds
86,Tiksi,RU,71.6872,128.8694,-24.38,94,100,5.64,overcast clouds
87,Ambositra,MG,-20.5167,47.25,73.87,72,81,7.2,broken clouds
88,Cayenne,GF,4.9333,-52.3333,78.01,100,100,2.3,overcast clouds
89,Norman Wells,CA,65.282,-126.8329,-9.4,84,40,2.8,light snow
90,Fort-Shevchenko,KZ,44.5086,50.263,47.43,74,0,13.35,clear sky
91,Hilo,US,19.7297,-155.09,68.0,88,90,9.22,light rain
92,Gopalur,IN,16.6167,77.8,99.16,15,5,5.59,clear sky
93,Busselton,AU,-33.65,115.3333,86.0,62,28,7.0,scattered clouds
94,Atuona,PF,-9.8,-139.0333,80.13,78,90,10.63,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,14.0,79,75,10.36,light snow
96,Wattegama,LK,6.7989,81.4808,84.2,74,90,6.91,moderate rain
97,Hithadhoo,MV,-0.6,73.0833,83.8,66,83,7.14,broken clouds
98,Waipawa,NZ,-41.4122,175.5153,55.4,62,3,3.44,clear sky
99,Belluno,IT,46.145,12.2214,44.6,42,20,2.3,few clouds
100,Husavik,IS,66.0449,-17.3389,50.0,62,0,24.16,clear sky
101,East London,ZA,-33.0153,27.9116,75.88,75,77,15.3,broken clouds
102,Salalah,OM,17.0151,54.0924,82.4,57,0,11.5,clear sky
103,Lagoa,PT,39.05,-27.9833,58.15,82,100,20.92,overcast clouds
104,Sisimiut,GL,66.9395,-53.6735,7.34,95,100,10.29,overcast clouds
105,Edd,ER,13.9297,41.6925,92.48,34,51,16.33,broken clouds
106,Maraba,BR,-5.3686,-49.1178,75.2,100,90,1.14,overcast clouds
107,Talnakh,RU,69.4865,88.3972,-19.68,91,39,11.36,scattered clouds
108,Benghazi,LY,32.1167,20.0667,59.47,47,13,8.28,few clouds
109,Oleksandrivka,UA,48.9634,32.2349,35.98,85,100,11.59,overcast clouds
110,Vardo,NO,70.3705,31.1107,24.8,93,75,26.46,light snow
111,College,US,64.8569,-147.8028,10.4,56,75,8.05,light snow
112,Greytown,ZA,-29.0642,30.5928,77.56,56,25,0.83,scattered clouds
113,Marostica,IT,45.7468,11.6579,48.99,51,58,4.34,broken clouds
114,Saint George,US,37.1041,-113.5841,50.0,81,1,5.75,clear sky
115,Dingli,MT,35.8614,14.3822,55.99,93,75,9.22,broken clouds
116,Gravdal,NO,68.1214,13.5031,28.4,59,0,6.91,clear sky
117,Bosaso,SO,11.2842,49.1816,80.6,74,0,14.97,clear sky
118,Lebu,CL,-37.6167,-73.65,51.78,85,0,5.97,clear sky
119,Kodiak,US,57.79,-152.4072,35.6,44,40,23.02,scattered clouds
120,Kraksaan,ID,-7.7585,113.3962,84.58,72,96,0.51,overcast clouds
121,Jinka,ET,5.65,36.65,82.9,44,99,3.76,light rain
122,Olavarria,AR,-36.8927,-60.3225,45.0,90,7,6.93,clear sky
123,Kokopo,PG,-4.352,152.2633,80.1,76,39,3.67,scattered clouds
124,Tevaitoa,PF,-16.7833,-151.5,82.35,74,20,9.75,few clouds
125,Preobrazheniye,RU,42.9019,133.9064,37.18,51,0,7.05,clear sky
126,Touros,BR,-5.1989,-35.4608,75.2,94,20,2.3,few clouds
127,Cam Ranh,VN,11.9214,109.1591,84.2,74,20,13.8,few clouds
128,Karpathos,GR,35.507,27.2132,60.8,41,20,21.85,few clouds
129,Butaritari,KI,3.0707,172.7902,82.06,77,56,11.63,broken clouds
130,Luderitz,NA,-26.6481,15.1594,70.0,62,0,11.07,clear sky
131,Pevek,RU,69.7008,170.3133,-24.41,98,0,4.18,clear sky
132,Ostrovnoy,RU,68.0531,39.5131,13.5,86,16,2.68,few clouds
133,Rio De Janeiro,BR,-22.9028,-43.2075,80.01,88,0,3.44,clear sky
134,Dingle,PH,10.9995,122.6711,84.49,75,8,9.62,clear sky
135,Vila,PT,42.0304,-8.1588,46.99,68,1,10.0,clear sky
136,Elk Point,US,42.6833,-96.6836,35.01,83,20,12.88,few clouds
137,Springbok,ZA,-29.6643,17.8865,68.0,45,0,3.44,clear sky
138,Navahrudak,BY,53.6,25.8333,30.09,80,100,7.63,overcast clouds
139,Deputatskiy,RU,69.3,139.9,-32.22,83,0,4.34,clear sky
140,Nuuk,GL,64.1835,-51.7216,19.4,86,90,12.66,light snow
141,Fortuna,US,40.5982,-124.1573,53.01,62,90,28.77,overcast clouds
142,Provideniya,RU,64.3833,-173.3,-7.71,83,0,5.28,clear sky
143,Myrtle Beach,US,33.6891,-78.8867,55.4,100,90,4.61,overcast clouds
144,Gat,IL,31.61,34.7642,68.0,43,4,1.99,clear sky
145,Wad Rawah,SD,15.1603,33.1397,102.87,13,66,15.43,broken clouds
146,Ust-Kuyga,RU,70.0167,135.6,-27.67,83,34,5.82,scattered clouds
147,Bethel,US,41.3712,-73.414,44.6,76,90,2.19,overcast clouds
148,Nanortalik,GL,60.1432,-45.2371,27.79,80,100,13.56,light snow
149,Bumba,CD,2.1833,22.4667,72.28,93,99,2.24,overcast clouds
150,Uniao,BR,-4.5858,-42.8642,71.6,94,90,0.58,heavy intensity rain
151,Damphu,BT,27.0721,90.1096,78.49,30,21,6.38,few clouds
152,Moree,AU,-29.4667,149.85,78.8,57,90,10.36,light rain
153,Santa Ana,US,33.7456,-117.8678,53.6,76,1,3.96,clear sky
154,Kollam,IN,8.8833,76.6,91.4,58,20,5.75,haze
155,Santo Tomas,PH,14.1079,121.1414,93.2,55,40,6.91,scattered clouds
156,Bato,PH,13.3528,123.3677,85.06,73,11,2.21,few clouds
157,Mahibadhoo,MV,3.7833,72.9667,82.31,71,56,7.29,broken clouds
158,Tabuk,PH,17.4189,121.4443,80.6,86,65,6.82,broken clouds
159,Port Augusta,AU,-32.5,137.7667,78.01,53,43,17.27,scattered clouds
160,Inuvik,CA,68.3499,-133.7218,-2.2,71,37,2.3,scattered clouds
161,Majene,ID,-3.5403,118.9707,85.08,66,45,6.24,scattered clouds
162,Kaitangata,NZ,-46.2817,169.8464,46.33,86,0,3.33,clear sky
163,Flinders,AU,-34.5833,150.8552,70.0,93,100,15.99,moderate rain
164,Jieshi,CN,22.8134,115.8257,81.0,70,6,3.0,clear sky
165,Bambous Virieux,MU,-20.3428,57.7575,86.0,58,40,11.5,scattered clouds
166,Darhan,MN,49.4867,105.9228,26.67,78,100,8.23,overcast clouds
167,Santa Rosalia,MX,27.3167,-112.2833,51.15,65,0,4.07,clear sky
168,Mana,GF,5.6592,-53.7767,75.02,85,81,9.08,broken clouds
169,Ambon,ID,-3.6954,128.1814,86.0,74,20,12.66,few clouds
170,Carpentras,FR,44.0833,5.1667,45.0,61,58,28.77,broken clouds
171,Udachnyy,RU,66.4167,112.4,11.62,84,100,19.71,overcast clouds
172,Matara,LK,5.9485,80.5353,83.62,71,100,7.4,light rain
173,Muisne,EC,0.6,-80.0333,76.82,86,97,2.77,light rain
174,Keti Bandar,PK,24.1447,67.4497,84.25,48,0,14.29,clear sky
175,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,75,9.22,broken clouds
176,Belchertown,US,42.277,-72.4009,37.4,81,90,4.61,overcast clouds
177,Trairi,BR,-3.2778,-39.2689,74.77,91,48,4.25,scattered clouds
178,Kirkenaer,NO,60.4564,12.0582,33.8,60,0,2.3,clear sky
179,Eyl,SO,7.9803,49.8164,86.45,57,77,17.07,broken clouds
180,Plouzane,FR,48.3833,-4.6167,46.4,93,0,2.3,clear sky
181,Kieta,PG,-6.2167,155.6333,80.8,79,52,1.07,broken clouds
182,Buin,CL,-33.7333,-70.75,59.0,88,90,5.75,overcast clouds
183,Castro,BR,-24.7911,-50.0119,61.18,98,89,2.86,overcast clouds
184,Mayumba,GA,-3.432,10.6554,83.17,71,86,2.44,light rain
185,Yei,SS,4.095,30.6779,91.2,39,91,4.23,overcast clouds
186,Pitimbu,BR,-7.4706,-34.8086,75.2,100,20,3.44,few clouds
187,Torbay,CA,47.6666,-52.7314,19.99,86,90,5.75,light snow
188,Kuching,MY,1.55,110.3333,75.2,94,40,3.44,light rain
189,Bereda,ES,43.2686,-7.5406,46.99,87,43,11.01,scattered clouds
190,Sakakah,SA,29.9697,40.2064,68.0,28,0,14.97,clear sky
191,Balabac,PH,7.9868,117.0645,84.7,68,10,6.93,clear sky
192,Andenes,NO,69.3143,16.1194,26.01,68,40,5.75,scattered clouds
193,Port Moresby,PG,-9.4431,147.1797,84.2,74,40,13.8,scattered clouds
194,Rognan,NO,67.0953,15.3878,27.0,75,0,3.06,clear sky
195,Waddan,LY,29.1614,16.139,61.38,47,99,20.98,overcast clouds
196,Livingston,GB,55.9029,-3.5226,50.0,93,0,8.05,clear sky
197,Zhuanghe,CN,39.7008,122.9911,48.99,60,94,1.01,overcast clouds
198,Dzheyrakh,RU,42.8228,44.6756,41.0,100,90,8.95,overcast clouds
